upjongName,UpjongNumber
전기제품,283
양방향미디어와서비스,300
전자제품,307
전자장비와기기,282
석유와가스,313
디스플레이장비및부품,269
화학,272
에너지장비및서비스,295
레저용장비와제품,271
반도체와반도체장비,278
핸드셋,292
IT서비스,267
다각화된소비자서비스,339
우주항공과국방,284
통신장비,294
소프트웨어,287
디스플레이패널,327
게임엔터테인먼트,263
복합기업,276
전기유틸리티,325
무선통신서비스,333
자동차부품,270
기타,25
창업투자,277
운송인프라,296
가정용기기와용품,298
항공사,305
출판,314
식품과기본식료품소매,302
제약,261
자동차,273
컴퓨터와주변기기,293
손해보험,315
방송과엔터테인먼트,285
도로와철도운송,329
전문소매,328
기계,299
건강관리업체및서비스,316
상업서비스와공급품,324
종이와목재,318
생명보험,330
식품,268
항공화물운송과물류,326
카드,337
교육서비스,290
다각화된통신서비스,336
포장재,311
은행,301
증권,321
부동산,280
"섬유,의류,신발,호화품",274
광고,310
건설,279
가정용품,297
생명과학도구및서비스,262
담배,275
건강관리장비와용품,281
가구,303
가스유틸리티,312
사무용전자제품,338
비철금속,322
건축제품,320
"호텔,레스토랑,레저",317
기타금융,319
문구류,332
백화점과일반상점,264
전기장비,306
생물공학,286
철강,304
복합유틸리티,331
무역회사와판매업체,334
조선,291
화장품,266
인터넷과카탈로그소매,308
판매업체,265
건축자재,289
음료,309
건강관리기술,288
해운사,323
